sending,sending_citizen_unspecified,sending_citizenship_unknown,sending_household_not_owned,sending_household_owned,sending_household_owned_unknown,sending_indigeneity,sending_internet,sending_internet_unknown,sending_marriage_unknown,sending_married,sending_no_indigeneity,sending_no_internet,sending_not_citizen,sending_rural,sending_salary_worker,sending_self_employed,sending_separated,sending_single,sending_sum_income,sending_total_pop,sending_unknown_employment_status,sending_unknown_indigeneity,sending_unpaid_worker,sending_urban,sending_weighted_avg_income,sending_weighted_avg_income_abroad,sending_weighted_avg_no_income_abroad,sending_weighted_avg_unknown_income_abroad,sending_widowed,US_MIG_05_10
20329,296.8933144,0,559.6328502,266.2337388,428.5,271.906423,714.3333333,-1,-1,436.612529,455.7712177,294.4033254,-1,296.1911069,2824.096447,596.5897436,249.3958333,206.0228519,626148,4228,-1,312.7297297,0,-1,296.1911069,269.9795918,297.100824,-1,112.9818182,264
20330,297.2755556,-1,151.254902,315.15,-1,314.745098,517.875,-1,-1,439.9181034,55.11428571,292.6207675,-1,296.616408,3148.818182,1808.823529,468.6875,111.8516484,133774,902,1500,428.625,0,-1,296.616408,171.4,298.6898876,-1,183.6666667,35
20331,420.9883721,-1,1173.913043,304.7651007,-1,447.7843137,-1,-1,-1,553.2266667,241.0625,420.9883721,-1,420.9883721,3261.736842,948.8181818,642.875,319.2285714,72410,344,-1,14,0,-1,420.9883721,-1,425.9411765,-1,180.4736842,5
20332,1379.676744,785.7142857,1597.275261,1298.91018,1714.277778,1616.017241,2943.975,1585.7,257.1,1973.134106,1363.903253,1318.350835,-1,1370.147666,5791.443299,3487.391061,2295.583333,794.0160714,1790783,2614,7166.666667,447.2173913,0,-1,1370.147666,1170.025,1389.645816,1607.25,489.4352941,121
20333,1130.235723,1767.083333,1217.096798,1106.615462,1188.344086,1065.383987,2348.929944,1485.369863,240,1817.798664,1245.544692,1032.788559,105.8823529,925.2558689,4077.393158,3065.414978,1927.998283,483.2114136,22892643,46016,1278.411765,1660.659656,0,1440.089088,1127.447844,977.7906137,1144.287749,1473.154762,643.815261,447
20334,277.0777311,-1,1654.230769,197.5088889,-1,280.6148936,-1,-1,-1,370.4855769,0,277.0777311,-1,277.0777311,3006.625,140.0481928,1420.611111,109.3539823,131889,952,-1,-1,0,-1,277.0777311,100,279.3382979,-1,189.2916667,25
20335,210.7568209,0,545.4857143,193.6214896,-1,203.7335723,0,-1,-1,269.0555556,595.25,211.0071259,-1,208.0421546,3017.953488,1511.571429,0,186.0524934,177668,1708,1393,0,0,-1,208.0421546,178.9404389,226.2401501,0,3.630769231,987
20336,582.0256195,275.5714286,1107.357143,510.3958534,678.7058824,582.705503,2203.609195,401.8125,-1,1040.565045,675.025,519.9252622,-1,580.3981598,3591.099206,2554.365079,546.4597701,243.979664,1377018,4782,-1,214.32,0,-1,580.3981598,126.0588235,591.4249037,64.3,100,154
20337,2377.494754,12857,2150.576879,2486.770019,-1,2380.908583,3252.34492,5193.333333,-1,3958.22512,2347.702572,2036.792261,228.5333333,2933.678317,5625.97622,5053.376455,3948.816817,887.1373146,7601673,10900,3535.785714,2930.239583,0,2182.078557,2375.425872,2117.771277,2394.51892,-1,1037.798913,245
20338,972.0740559,-1,1032.906634,952.4102091,1087.25,809.4404663,2471.218182,701.3181818,500,1538.909292,1207.57529,839.0091496,-1,969.2220049,4507.605187,2713.766234,1296.869565,501.363174,1982059,4090,-1,1069.179104,0,-1,969.2220049,620.8817204,987.871702,776.8947368,333.8584906,246
20339,302.0420455,-1,195.7403315,336.033675,50.41176471,263.2474378,-1,-1,-1,353.9279778,441.0205128,303.4212329,-1,301.6992054,2911.971014,1410.23913,176.2222222,286.8870588,265797,1762,-1,-1,0,-1,301.6992054,151.6666667,313.1820388,-1,170.1315789,72
20340,665.3984375,-1,486.2692308,711.0588235,-1,660.0747664,-1,-1,-1,1154.716981,665.1111111,665.3984375,-1,665.3984375,3888.176471,2724.571429,321.5,338.5820896,85171,256,-1,857,0,-1,665.3984375,-1,670.6377953,-1,0,11
20341,2366.935851,8366.666667,2516.951477,2320.033389,6632.714286,1856.194907,3209.783251,1815.266667,-1,3768.371078,3246.536977,2286.138946,5714.375,2393.605718,6285.256545,3525.321739,4458.75,1085.009674,3736135,3358,4000,2898.416667,0,-1,2393.605718,1901.128205,2407.303922,2000,832.9347826,122
20342,806.058104,714.3333333,755.3053435,808.5775336,782.6521739,555.8913444,1039.294118,6098.923077,0,1110.717694,1131.777011,707.3377049,-1,800.373494,4956.589744,2361.423913,1883,456.4213075,797172,1992,-1,166.6666667,0,-1,800.373494,495.7655502,881.2668361,-1,179.9310345,163
20343,488.4318862,857.1666667,465.0983607,496.3067823,-1,504.8552754,-1,-1,-1,702.1592466,437.6627907,490.0804769,-1,490.0804769,3972.883721,845.3554217,825.6086957,313.0576923,657688,2684,2428.5,313.1538462,0,-1,490.0804769,1109.2,475.6524438,319.4444444,298.4385965,204
20344,532.7152642,-1,1016.56383,480.0834225,0,413.8987342,2166.666667,338.3684211,-1,901.2858696,634.7034483,520.9275148,-1,528.8343856,4737.336788,1131.481481,578.3,202.101712,1088870,4118,1983.090909,1151.294118,0,-1,528.8343856,329.96875,564.103991,35.70833333,353.9411765,265
20345,103.4131994,-1,111.5,99.58908507,-1,109.527972,-1,-1,-1,121.6303191,68.82481752,101.0925666,-1,101.0925666,3308.642857,1355.684211,6.666666667,91.58885017,72079,1426,-1,-1,0,-1,101.0925666,49.09411765,108.6496,0,0,126
